id,date,scanner,min,max,err,pixels,minf,maxf,errf,created_at,updated_at
767,05-11-2016,K168,35156,35970,2.29,38,35540,35567,0.08,,
768,05-11-2016,K115,35244,35821,1.62,32,35542,35554,0.03,,
769,05-11-2016,K114,35160,36103,2.65,13,35712,35737,0.07,,
770,05-11-2016,K171,35207,36147,2.63,42,35714,35737,0.06,,
771,05-01-2018,K218,35419,35941,1.46,12,35688,35690,0.01,,26:25.7
772,05-01-2018,K219,35440,35960,1.46,6,35682,35687,0.01,,26:25.7
773,05-07-2017,K120,35074,35934,2.42,42,35527,35542,0.04,,
774,05-07-2017,K141,35375,36055,1.9,32,35672,35707,0.1,,
775,05-07-2017,K169,34890,36198,3.68,38,35561,35574,0.04,,
776,05-01-2018,H161,35125,36385,3.52,8,35737,35757,0.06,,38:08.7
777,05-01-2018,H162,35396,36046,1.82,21,35743,35775,0.09,,38:08.7
778,05-01-2018,H163,34998,36479,4.14,54,35720,35755,0.1,,38:08.7
781,06-01-2018,K115,35244,35823,1.63,34,35541,35552,0.03,,06:23.4
779,06-01-2018,K121,35357,36018,1.85,37,35720,35738,0.05,,06:23.4
780,06-01-2018,K168,35158,35971,2.29,40,35542,35569,0.08,,06:23.4
782,06-01-2018,K114,35153,36111,2.69,18,35715,35735,0.06,,06:23.4
783,06-01-2018,K171,35205,36141,2.62,33,35718,35743,0.07,,06:23.4
784,06-01-2018,H161,35117,36383,3.54,13,35736,35757,0.06,,29:25.9
785,06-01-2018,H162,35386,36058,1.88,28,35739,35774,0.1,,29:25.9
786,06-01-2018,H163,34936,36492,4.36,55,35711,35761,0.14,,29:26.0
789,06-01-2018,K169,34892,36190,3.65,42,35563,35573,0.03,,52:03.8
787,06-01-2018,K120,35088,35921,2.35,43,35526,35543,0.05,,52:03.8
788,06-01-2018,K141,35374,36052,1.9,33,35672,35707,0.1,,52:03.8
792,04-01-2018,K239,35240,36262,2.86,21,35719,35728,0.03,,23:49.5
791,04-01-2018,K238,35147,36363,3.4,6,35714,35717,0.01,,23:49.5
793,04-01-2018,K250,35361,36037,1.89,17,35701,35708,0.02,,23:49.6
790,04-01-2018,K237,35151,36277,3.15,12,35715,35719,0.01,,23:49.6
796,05-01-2018,K239,35240,36262,2.86,18,35721,35729,0.02,,11:35.7
795,05-01-2018,K238,35148,36365,3.4,6,35705,35717,0.03,,11:35.7
797,05-01-2018,K250,35359,36039,1.9,17,35706,35711,0.01,,11:35.7
794,05-01-2018,K237,35151,36277,3.15,12,35715,35719,0.01,,11:35.7
800,06-01-2018,K239,35240,36262,2.86,18,35721,35729,0.02,,04:58.3
